epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,542.654,0.73737,0.36749,0.97761,0.99629,0.99509,0.995,0.80202,0.76085,0.28872,0.97699,0.0006734,0.0006734,0.0006734
69,549.548,0.71566,0.36215,0.98386,1,0.99591,0.995,0.80283,0.74442,0.28343,0.9666,0.0006536,0.0006536,0.0006536
70,556.285,0.71944,0.35633,0.97258,0.99948,0.9963,0.995,0.80744,0.74913,0.28866,0.97099,0.0006338,0.0006338,0.0006338
71,563.16,0.73539,0.36317,0.98319,0.99953,0.9963,0.995,0.78828,0.75555,0.27873,0.98367,0.000614,0.000614,0.000614
72,570.19,0.72769,0.35508,0.97719,0.99585,0.9963,0.99496,0.81046,0.77398,0.28506,0.98953,0.0005942,0.0005942,0.0005942
73,577.074,0.71701,0.35357,0.97346,0.99962,0.9963,0.995,0.80635,0.76648,0.28463,0.96154,0.0005744,0.0005744,0.0005744
74,583.934,0.72092,0.34871,0.98313,0.99957,0.9963,0.995,0.81718,0.73936,0.26812,0.96469,0.0005546,0.0005546,0.0005546
75,590.792,0.70902,0.35484,0.97373,0.99595,0.9963,0.995,0.794,0.75344,0.28386,0.97723,0.0005348,0.0005348,0.0005348
76,597.631,0.70959,0.34855,0.97248,0.99967,0.9963,0.995,0.80026,0.73908,0.27232,0.97093,0.000515,0.000515,0.000515
77,604.619,0.73285,0.35774,0.98611,0.99631,1,0.995,0.81945,0.73327,0.27554,0.95746,0.0004952,0.0004952,0.0004952
78,611.488,0.69964,0.34186,0.96962,0.99631,0.99957,0.995,0.8133,0.74275,0.26798,0.9637,0.0004754,0.0004754,0.0004754
79,618.328,0.69641,0.33801,0.97087,0.99631,0.99939,0.995,0.82226,0.72285,0.26702,0.95498,0.0004556,0.0004556,0.0004556
80,625.235,0.70983,0.3498,0.97511,0.99256,1,0.995,0.81667,0.72548,0.2734,0.96061,0.0004358,0.0004358,0.0004358
81,632.14,0.70496,0.34951,0.96699,0.9993,0.9963,0.995,0.82394,0.73379,0.26731,0.96683,0.000416,0.000416,0.000416
82,638.986,0.71017,0.34172,0.97912,0.9992,0.9963,0.995,0.82128,0.72425,0.26859,0.94991,0.0003962,0.0003962,0.0003962
83,645.988,0.70083,0.34218,0.97395,0.99251,1,0.995,0.8232,0.72043,0.26391,0.95452,0.0003764,0.0003764,0.0003764
84,652.814,0.69079,0.34079,0.96802,0.99265,0.99996,0.995,0.81792,0.72064,0.25899,0.95785,0.0003566,0.0003566,0.0003566
85,659.63,0.67395,0.33794,0.96281,0.99265,0.99984,0.99493,0.81068,0.72817,0.26856,0.96288,0.0003368,0.0003368,0.0003368
86,666.497,0.67157,0.33344,0.96204,1,0.99752,0.995,0.80843,0.74309,0.26835,0.97423,0.000317,0.000317,0.000317
87,673.353,0.68711,0.33769,0.96596,0.99996,0.9963,0.995,0.82732,0.71397,0.26345,0.9515,0.0002972,0.0002972,0.0002972
88,680.17,0.67678,0.33028,0.96462,1,0.99582,0.995,0.8243,0.71027,0.26093,0.95572,0.0002774,0.0002774,0.0002774
89,687.085,0.65758,0.32721,0.95629,0.9993,0.9963,0.995,0.82994,0.7116,0.26258,0.94951,0.0002576,0.0002576,0.0002576
90,693.941,0.66285,0.3222,0.96218,0.99631,0.99999,0.995,0.82533,0.71813,0.26078,0.95924,0.0002378,0.0002378,0.0002378
91,703.573,0.62059,0.27002,0.92571,0.99631,0.99945,0.995,0.81796,0.72083,0.26395,0.95948,0.000218,0.000218,0.000218
92,710.431,0.62171,0.26016,0.92503,0.99932,0.9963,0.995,0.81235,0.74308,0.26594,0.96766,0.0001982,0.0001982,0.0001982
93,717.177,0.60814,0.25683,0.92529,0.99962,0.9963,0.995,0.82503,0.71455,0.26109,0.95334,0.0001784,0.0001784,0.0001784
94,723.935,0.61391,0.2594,0.91443,1,0.99929,0.995,0.82255,0.70957,0.2654,0.94692,0.0001586,0.0001586,0.0001586
95,730.915,0.59889,0.25473,0.91312,0.99981,0.9963,0.995,0.82597,0.71372,0.26261,0.95608,0.0001388,0.0001388,0.0001388
96,737.793,0.60472,0.25793,0.9086,1,0.99581,0.995,0.82899,0.71315,0.26733,0.94897,0.000119,0.000119,0.000119
97,744.497,0.58631,0.25337,0.90967,0.99943,0.99259,0.995,0.82856,0.69993,0.25566,0.94535,9.92e-05,9.92e-05,9.92e-05
98,751.191,0.58782,0.24861,0.90967,1,0.99585,0.995,0.82727,0.70835,0.26036,0.95131,7.94e-05,7.94e-05,7.94e-05
99,757.886,0.58301,0.248,0.91518,1,0.99588,0.995,0.82786,0.69995,0.25835,0.94215,5.96e-05,5.96e-05,5.96e-05
100,764.671,0.58557,0.24606,0.91097,0.99244,1,0.995,0.83031,0.69932,0.2557,0.94637,3.98e-05,3.98e-05,3.98e-05
